name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
avakrahasanya-khmer,17DC,Symbols and Punctuation,kh256,Letter,,,,uni17DC,,khmer,,KHMER SIGN AVAKRAHASANYA
zero-khmer,17E0,Numerals/Basic,kh258,Number,Decimal Digit,,,uni17E0,,khmer,,KHMER DIGIT ZERO
one-khmer,17E1,Numerals/Basic,kh260,Number,Decimal Digit,,,uni17E1,,khmer,,KHMER DIGIT ONE
two-khmer,17E2,Numerals/Basic,kh262,Number,Decimal Digit,,,uni17E2,,khmer,,KHMER DIGIT TWO
three-khmer,17E3,Numerals/Basic,kh264,Number,Decimal Digit,,,uni17E3,,khmer,,KHMER DIGIT THREE
four-khmer,17E4,Numerals/Basic,kh266,Number,Decimal Digit,,,uni17E4,,khmer,,KHMER DIGIT FOUR
five-khmer,17E5,Numerals/Basic,kh268,Number,Decimal Digit,,,uni17E5,,khmer,,KHMER DIGIT FIVE
six-khmer,17E6,Numerals/Basic,kh270,Number,Decimal Digit,,,uni17E6,,khmer,,KHMER DIGIT SIX
seven-khmer,17E7,Numerals/Basic,kh272,Number,Decimal Digit,,,uni17E7,,khmer,,KHMER DIGIT SEVEN
eight-khmer,17E8,Numerals/Basic,kh274,Number,Decimal Digit,,,uni17E8,,khmer,,KHMER DIGIT EIGHT
nine-khmer,17E9,Numerals/Basic,kh276,Number,Decimal Digit,,,uni17E9,,khmer,,KHMER DIGIT NINE
lekattakson-khmer,17F0,Numerals/Divination,kh278,Number,,,,uni17F0,,khmer,,KHMER SYMBOL LEK ATTAK SON
lekattakmuoy-khmer,17F1,Numerals/Divination,kh280,Number,,,,uni17F1,,khmer,,KHMER SYMBOL LEK ATTAK MUOY
lekattakpii-khmer,17F2,Numerals/Divination,kh282,Number,,,,uni17F2,,khmer,,KHMER SYMBOL LEK ATTAK PII
lekattakbei-khmer,17F3,Numerals/Divination,kh284,Number,,,,uni17F3,,khmer,,KHMER SYMBOL LEK ATTAK BEI
lekattakbuon-khmer,17F4,Numerals/Divination,kh286,Number,,,,uni17F4,,khmer,,KHMER SYMBOL LEK ATTAK BUON
lekattakpram-khmer,17F5,Numerals/Divination,kh288,Number,,,,uni17F5,,khmer,,KHMER SYMBOL LEK ATTAK PRAM
